name,power_state,guest_os,os_category,ip_address,hostname,vcenter_path,vcenter_url,datacenter,cpus,memory_gb,VI.ENV,VI.LANDSCAPE,VI.OWNER,VI.PURPOSE,VI.TIER,App_Name,Description,Owner,deployment,cmdb_uuid,tags
DCPVHZEDG01,poweredOn,Other 5.x or later Linux (64-bit),linux,10.5.106.101,DCPVHZEDG01.CORP.PVT,/PHX1-THRYV-DC/vm/VDI/INFRA/DCPVHZEDG01,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,8,16.0,PROD,Windows Infra Tools,Stacey Sanford,VDI,Production,,,,,vmw-vm-9e6b4fe7-bf11-548a-a135-42b599dfedb8,
ST1UAG01A,poweredOn,Other 3.x or later Linux (64-bit),linux,10.6.52.35,st1uag01a.corp.pvt,/PHX1-THRYV-DC/vm/VDI/INFRA/ST1UAG01A,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,2,4.0,PROD,VDI Desktop,Stacey Sanford,VDI,Production,,,,,vmw-vm-1e4b5f36-5245-5166-9300-a19490cfccf8,
ST1UAG01B,poweredOn,Other 3.x or later Linux (64-bit),linux,10.6.52.36,st1uag01b.corp.pvt,/PHX1-THRYV-DC/vm/VDI/INFRA/ST1UAG01B,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,2,4.0,PROD,VDI Desktop,Stacey Sanford,VDI,Production,,,,,vmw-vm-0df0d05f-741a-5825-aac6-4c302e4ab3a0,
VHZ-LMST4,poweredOff,Ubuntu Linux (64-bit),linux,,VHZ-LMST4,/PHX1-THRYV-DC/vm/VDI/MASTERS/VHZ-LMST4,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,4,8.0,PROD,Unknown,Stacey Sanford,VDI,Production,,,,,vmw-vm-ea885240-dd30-5c72-8f72-2bdfce08f9c8,
VHZPLFC004,poweredOn,Ubuntu Linux (64-bit),linux,10.6.143.121,VHZPLFC004,/PHX1-THRYV-DC/vm/VDI/POOLS/LINUX-MANUAL/VHZPLFC004,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,4,8.0,PROD,Linux-Manual,Stacey Sanford,VDI,Production,,,,,vmw-vm-3be252f6-dbdb-57f3-b6ca-70a99a1f7573,
VHZPLFC007,poweredOn,Ubuntu Linux (64-bit),linux,10.6.143.129,VHZPLFC007,/PHX1-THRYV-DC/vm/VDI/POOLS/LINUX-MANUAL/VHZPLFC007,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,4,8.0,PROD,Linux-Manual,Jeong Park,VDI,Production,,,,,vmw-vm-f8b4a6e6-facd-5cd9-9ab2-ed74d765cf74,
VHZPLFC011,poweredOn,Ubuntu Linux (64-bit),linux,10.6.143.163,VHZPLFC011,/PHX1-THRYV-DC/vm/VDI/POOLS/LINUX-MANUAL/VHZPLFC011,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,4,16.0,PROD,Linux-Manual,Ijaz Mohamed Umar,VDI,Production,,,,,vmw-vm-097f7f66-939a-57ee-bbe3-3257a3790f77,
VHZPLFC012,poweredOn,Ubuntu Linux (64-bit),linux,10.6.143.155,VHZPLFC012,/PHX1-THRYV-DC/vm/VDI/POOLS/LINUX-MANUAL/VHZPLFC012,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,6,16.0,PROD,Linux-Manual,David Vazgenovich Shakaryan,VDI,Production,,,,,vmw-vm-16b80f3d-1ae1-5610-87b0-51525e49d14b,
VHZPLFC013,poweredOn,Ubuntu Linux (64-bit),linux,10.6.143.137,VHZPLFC013,/PHX1-THRYV-DC/vm/VDI/POOLS/LINUX-MANUAL/VHZPLFC013,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,4,8.0,PROD,Linux-Manual,Joe Lorkowski,VDI,Production,,,,,vmw-vm-7b115e27-8554-5778-a73c-5d620bb4a5fb,
VHZPLFC014,poweredOn,Ubuntu Linux (64-bit),linux,10.6.139.112,VHZPLFC014,/PHX1-THRYV-DC/vm/VDI/POOLS/LINUX-MANUAL/VHZPLFC014,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,4,8.0,PROD,Linux-Manual,Prashanth Ramalingaiah,VDI,Production,,,,,vmw-vm-514a46e5-0a12-58c8-b5a6-b14894a881bb,
VHZPLFC015,poweredOn,Ubuntu Linux (64-bit),linux,10.6.139.114,VHZPLFC015.corp.pvt,/PHX1-THRYV-DC/vm/VDI/POOLS/LINUX-MANUAL/VHZPLFC015,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,6,16.0,PROD,Linux-Manual,Vinay Kohirkar,VDI,Production,,,,,vmw-vm-094ecb35-1b8a-507b-890e-4e6bfc68453c,
VHZPLFC016,poweredOn,Ubuntu Linux (64-bit),linux,10.6.143.189,VHZPLFC016,/PHX1-THRYV-DC/vm/VDI/POOLS/LINUX-MANUAL/VHZPLFC016,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,4,8.0,PROD,Linux-Manual,Gangaprasad Shirale,VDI,Production,,,,,vmw-vm-efb78263-c194-52ca-9723-7532a7c3580f,
VHZPLFC018,poweredOn,Ubuntu Linux (64-bit),linux,10.6.134.166,VHZPLFC018,/PHX1-THRYV-DC/vm/VDI/POOLS/LINUX-MANUAL/VHZPLFC018,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,4,8.0,PROD,Linux-Manual,Aman Hanzra,VDI,Production,,,,,vmw-vm-2c646111-a8e9-5877-add8-38bf7c342fc6,
VHZPLFC022,poweredOn,Ubuntu Linux (64-bit),linux,10.6.134.249,VHZPLFC022,/PHX1-THRYV-DC/vm/VDI/POOLS/LINUX-MANUAL/VHZPLFC022,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,4,8.0,PROD,Linux-Manual,Swanand Deshpande,VDI,Production,,,,,vmw-vm-cc321b21-5378-50ac-a77c-acc482b56243,
VHZPLFC023,poweredOn,Ubuntu Linux (64-bit),linux,10.6.143.132,VHZPLFC023,/PHX1-THRYV-DC/vm/VDI/POOLS/LINUX-MANUAL/VHZPLFC023,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,4,8.0,PROD,Linux-Manual,Anvesh Deshmukh,VDI,Production,,,,,vmw-vm-501a1c95-e99c-531a-954c-a55dffc08391,
VHZPLFC024,poweredOn,Ubuntu Linux (64-bit),linux,10.6.143.138,VHZPLFC024,/PHX1-THRYV-DC/vm/VDI/POOLS/LINUX-MANUAL/VHZPLFC024,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,4,8.0,PROD,Linux-Manual,Vrushali Matsagar,VDI,Production,,,,,vmw-vm-d1376e6a-d3a2-5409-9342-89309b696b82,
VHZPLFC1001,poweredOn,Ubuntu Linux (64-bit),linux,10.6.143.186,VHZPLFC1001,/PHX1-THRYV-DC/vm/VDI/POOLS/LINUX-FC/VHZPLFC1001,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,4,8.0,PROD,LINUX-FC,Stacey Sanford,VDI,Production,,,,,vmw-vm-7ae42689-debe-5156-94d5-73bc981b4777,
VHZPLFC1002,poweredOn,Ubuntu Linux (64-bit),linux,10.6.141.61,VHZPLFC1002,/PHX1-THRYV-DC/vm/VDI/POOLS/LINUX-FC/VHZPLFC1002,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,4,8.0,PROD,LINUX-FC,Stacey Sanford,VDI,Production,,,,,vmw-vm-c8f2bd94-c498-5f63-87a8-56ac5a652126,
VHZPLFC1003,poweredOn,Ubuntu Linux (64-bit),linux,10.6.143.59,VHZPLFC1003,/PHX1-THRYV-DC/vm/VDI/POOLS/LINUX-FC/VHZPLFC1003,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,4,8.0,PROD,LINUX-FC,Stacey Sanford,VDI,Production,,,,,vmw-vm-4c2c4bdc-00f2-55e7-b6da-08e375f55d7e,
VHZPLFC1004,poweredOn,Ubuntu Linux (64-bit),linux,10.6.143.8,VHZPLFC1004,/PHX1-THRYV-DC/vm/VDI/POOLS/LINUX-FC/VHZPLFC1004,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,4,8.0,PROD,LINUX-FC,Paul Whitehead,VDI,Production,,,,,vmw-vm-b9fed4fa-7c5d-5784-b27e-6ce0970a9931,
VHZPLFC1005,poweredOn,Ubuntu Linux (64-bit),linux,10.6.143.34,VHZPLFC1005,/PHX1-THRYV-DC/vm/VDI/POOLS/LINUX-FC/VHZPLFC1005,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,4,8.0,PROD,LINUX-FC,Kresimir Fabijanic,VDI,Production,,,,,vmw-vm-5a214d2b-16e7-59da-a075-cff64e0aa598,
VHZPLFC1006,poweredOn,Ubuntu Linux (64-bit),linux,10.6.143.56,VHZPLFC1006,/PHX1-THRYV-DC/vm/VDI/POOLS/LINUX-FC/VHZPLFC1006,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,4,8.0,PROD,LINUX-FC,Stacey Sanford,VDI,Production,,,,,vmw-vm-0427c272-8476-55ac-9f84-fc6fd65409fd,
VHZPLFC1007,poweredOn,Ubuntu Linux (64-bit),linux,10.6.143.62,VHZPLFC1007,/PHX1-THRYV-DC/vm/VDI/POOLS/LINUX-FC/VHZPLFC1007,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,4,8.0,PROD,LINUX-FC,Stacey Sanford,VDI,Production,,,,,vmw-vm-471a531c-eec4-5d93-a16d-74808d450fdc,
ad-automation5,poweredOn,CentOS 6 (64-bit),linux,10.6.39.199,ad-automation5.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Adsvc/ad-automation5,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,2,12.0,DEV,Adsvc,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-7a4c3375-2d03-53b9-993a-d174f313d316,
ad-fea-tpkg-repo,poweredOn,CentOS 6 (64-bit),linux,10.6.25.130,ad-fea-tpkg-repo.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/ad-fea-tpkg-repo,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,1,2.0,DEV,Adsvc,James Martin,TPKG,Non-Production,,,,,vmw-vm-2ed1b964-5bb7-59db-8977-6e2349e344f7,
